NewValues are red flaot: 0.552941, green float: 0.490196, blue float: 0.388235
NewValues are red flaot: 0.513726, green float: 0.450980, blue float: 0.352941
NewValues are red flaot: 0.552941, green float: 0.494118, blue float: 0.411765
NewValues are red flaot: 0.549020, green float: 0.490196, blue float: 0.407843
NewValues are red flaot: 0.403922, green float: 0.352941, blue float: 0.278431
NewValues are red flaot: 0.447059, green float: 0.396078, blue float: 0.321569
NewValues are red flaot: 0.490196, green float: 0.447059, blue float: 0.368627
NewValues are red flaot: 0.509804, green float: 0.466667, blue float: 0.388235
NewValues are red flaot: 0.486275, green float: 0.454902, blue float: 0.364706
NewValues are red flaot: 0.462745, green float: 0.431373, blue float: 0.341176
NewValues are red flaot: 0.443137, green float: 0.419608, blue float: 0.325490
NewValues are red flaot: 0.431373, green float: 0.411765, blue float: 0.298039
NewValues are red flaot: 0.498039, green float: 0.482353, blue float: 0.337255
NewValues are red flaot: 0.584314, green float: 0.568627, blue float: 0.419608
NewValues are red flaot: 0.556863, green float: 0.533333, blue float: 0.392157
NewValues are red flaot: 0.466667, green float: 0.443137, blue float: 0.309804
NewValues are red flaot: 0.400000, green float: 0.372549, blue float: 0.258824
NewValues are red flaot: 0.478431, green float: 0.454902, blue float: 0.329412
NewValues are red flaot: 0.619608, green float: 0.584314, blue float: 0.454902
NewValues are red flaot: 0.588235, green float: 0.556863, blue float: 0.411765
NewValues are red flaot: 0.572549, green float: 0.545098, blue float: 0.380392
NewValues are red flaot: 0.486275, green float: 0.458824, blue float: 0.286275
NewValues are red flaot: 0.635294, green float: 0.600000, blue float: 0.439216
NewValues are red flaot: 0.505882, green float: 0.466667, blue float: 0.325490
NewValues are red flaot: 0.494118, green float: 0.450980, blue float: 0.333333
NewValues are red flaot: 0.631373, green float: 0.584314, blue float: 0.490196
NewValues are red flaot: 0.596078, green float: 0.533333, blue float: 0.474510
NewValues are red flaot: 0.301961, green float: 0.235294, blue float: 0.196078
NewValues are red flaot: 0.341176, green float: 0.282353, blue float: 0.270588
